storenum;OPENDATE;date_super;conversion;st;county;STREETADDR;STRCITY;STRSTATE;ZIPCODE;type_store
1;07.01.1962;03.01.1997;1;5;7;2110 WEST WALNUT;Rogers;AR;72756;Supercenter
2;08.01.1964;03.01.1996;1;5;9;1417 HWY 62/65 N;Harrison;AR;72601;Supercenter
3;04.12.1988;03.01.2000;1;13;11;30983 HWY 441 SOUTH;Commerce;GA;30529;Supercenter
4;08.01.1965;03.01.2002;1;5;7;2901 HWY 412 EAST;Siloam Springs;AR;72761;Supercenter
5;05.01.1972;03.01.1994;1;5;45;1155 HWY 65 NORTH;Conway;AR;72032;Supercenter
7;10.01.1967;;;5;119;3801 CAMP ROBINSON RD.;North Little Rock;AR;72118;Wal-Mart
8;10.01.1967;03.01.1993;1;5;29;1621 NORTH BUSINESS 9;Morrilton;AR;72110;Supercenter
9;03.01.1968;03.01.2000;1;29;143;1303 SOUTH MAIN;Sikeston;MO;63801;Supercenter
10;07.01.1968;03.01.1998;1;40;21;2020 SOUTH MUSKOGEE;Tahlequah;OK;74464;Supercenter
11;03.01.1968;2/20/2002 ;1;5;5;65 WAL-MART DRIVE;Mountain Home;AR;72653;Supercenter
12;07.01.1968;03.01.1994;1;40;131;1500 LYNN RIGGS BLVD;Claremore;OK;74017;Supercenter
13;11.01.1968;03.01.1996;1;29;97;2705 GRAND AVE;Carthage;MO;64836;Supercenter
14;04.01.1969;03.01.1999;1;29;105;1800 S JEFFERSON;Lebanon;MO;65536;Supercenter
15;05.01.1969;03.01.1995;1;29;91;1310 PREACHER RD/HGWY 160;West Plains;MO;65775;Supercenter
16;04.01.1969;03.01.2000;1;5;33;2214 FAYETTEVILLE RD;Van Buren;AR;72956;Supercenter
17;05.01.1969;03.01.1993;1;29;145;3200 LUSK DRIVE;Neosho;MO;64850;Supercenter
18;11.01.1969;;;5;67;2500 MALCOLM ST/HWY 67 NORTH;Newport;AR;72112;Wal-Mart
19;04.03.1990;04.03.1990;0;29;23;333 S WESTWOOD;Poplar Bluff;MO;63901;Supercenter
20;10.01.1970;03.01.1999;1;29;83;1712 EAST OHIO;Clinton;MO;64735;Supercenter
21;03.01.1970;8/22/2001 ;1;29;169;185 ST ROBERT BLVD;St. Robert;MO;65584;Supercenter
22;10.01.1970;5/18/2005 ;1;40;97;4901 SO. MILL ROAD;Pryor;OK;74361;Supercenter
23;11.01.1970;03.01.1994;1;22;61;1201 N SERVICE ROAD EAST;Ruston;LA;71270;Supercenter
24;04.01.1971;03.01.1999;1;5;119;2000 JOHN HARDEN DR;Jacksonville;AR;72076;Supercenter
25;02.01.1971;5/18/2005 ;1;29;7;4820 SO. CLARK ST;Mexico;MO;65265;Supercenter
26;11.01.1970;;;20;103;3450 S. 4TH TRAFFICWAY;Leavenworth;KS;66048;Wal-Mart
27;02.01.1971;03.01.1999;1;29;65;1101 HWY 32 WEST;Salem;MO;65560;Supercenter
28;05.01.1971;03.01.2002;1;40;115;2415 N.W. MAIN ST;Miami;OK;74354;Supercenter
29;08.01.1971;03.01.1989;1;29;51;724 STADIUM WEST BLVD;Jefferson City;MO;65109;Supercenter
30;11.01.1971;5/18/2005 ;1;29;207;2025 BUS. HWY 60 WEST;Dexter;MO;63841;Supercenter
31;06.01.1971;03.01.1995;1;40;79;3108 N BROADWAY;Poteau;OK;74953;Supercenter
32;06.01.1971;;;29;213;2050 WEST HWY 76;Branson;MO;65616;Wal-Mart
33;06.01.1971;9/17/2003 ;1;5;61;1710 SO. 4TH ST;Nashville;AR;71852;Supercenter
34;11.01.1971;5/21/2003 ;1;29;217;2250 LINCOLN AVENUE;Nevada;MO;64772;Supercenter
35;10.01.1971;3/17/2004 ;1;20;161;101 EAST BLUEMONT AVENUE;Manhattan;KS;66502;Supercenter
36;11.01.1971;03.01.1996;1;5;55;2802 WEST KINGS HIGHWAY;Paragould;AR;72450;Supercenter
37;09.01.1971;03.01.1989;1;29;187;701 WALTON DRIVE;Farmington;MO;63640;Supercenter
38;12.09.1971;3/17/2004 ;1;40;89;1907 SE WASHINGTON ST.;Idabel;OK;74745;Supercenter
39;03.01.1972;;;20;11;2400 SOUTH MAIN;Fort Scott;KS;66701;Wal-Mart
40;11.01.1971;03.01.1995;1;29;175;1301 HWY 24 EAST;Moberly;MO;65270;Supercenter
41;05.01.1972;03.01.1994;1;40;147;4000 GREEN COUNTRY RD;Bartlesville;OK;74006;Supercenter
42;02.01.1973;;;20;125;1705 WEST 11TH STREET;Coffeyville;KS;67337;Wal-Mart
43;05.01.1972;03.01.2000;1;20;61;521 EAST CHESTNUT ST;Junction City;KS;66441;Supercenter
44;02.01.1972;;;29;131;1802 SOUTH BUSINESS HWY 54;Eldon;MO;65026;Wal-Mart
45;08.01.1972;03.01.1994;1;5;31;1815 EAST HIGHLAND DRIVE;Jonesboro;AR;72401;Supercenter
46;08.01.1972;03.01.1999;1;29;167;2451 S. SPRINGFIELD;Bolivar;MO;65613;Supercenter
47;07.01.1972;3/14/2001 ;1;40;135;1101 WEST RUTH AVE;Sallisaw;OK;74955;Supercenter
48;11.01.1972;03.01.1999;1;29;9;885 HIGHWAY 60;Monett;MO;65708;Supercenter
49;10.01.1972;03.01.2002;1;40;23;1911 E.JACKSON ST.;Hugo;OK;74743;Supercenter
50;09.01.1973;1/22/2003 ;1;40;35;268 SO. 7TH ST.;Vinita;OK;74301;Supercenter
51;05.01.1973;03.01.1998;1;29;27;1701 NORTH BLUFF STREET;Fulton;MO;65251;Supercenter
52;07.01.1972;03.01.2000;1;5;51;1601 ALBERT PIKE BLV;Hot Springs;AR;71913;Supercenter
54;06.01.1972;03.01.1992;1;5;143;2004 SOUTH PLEASANT;Springdale;AR;72764;Supercenter
55;10.01.1972;;;5;83;1555 EAST MAIN;Booneville;AR;72927;Wal-Mart
56;08.01.1973;3/17/2004 ;1;29;67;1309 NW 12TH AVE;Ava;MO;65608;Supercenter
57;10.01.1972;;;5;75;1600 WEST MAIN;Walnut Ridge;AR;72476;Wal-Mart
58;05.01.1973;10/26/2005 ;1;5;115;2409 EAST MAIN STREET;Russellville;AR;72802;Supercenter
59;05.01.1972;03.01.1996;1;29;97;1501 SOUTH RANGELINE ROAD;Joplin;MO;64804;Supercenter
60;03.01.1975;03.01.1996;1;29;113;101 HWY 47 EAST;Troy;MO;63379;Supercenter
61;11.01.1972;03.01.1993;1;29;101;301 E. COOPER AVENUE;Warrensburg;MO;64093;Supercenter
62;11.01.1972;03.01.1999;1;5;93;3700 EAST HWY 18;Blytheville;AR;72315;Supercenter
63;09.01.1973;03.01.1988;1;40;145;410 SOUTH DEWEY;Wagoner;OK;74467;Supercenter
64;02.01.1973;;;47;75;100 SOUTH DUPREE;Brownsville;TN;38012;Wal-Mart
65;07.03.1973;03.01.1994;1;29;71;350 PARKRIDGE ROAD;Sullivan;MO;63080;Supercenter
66;08.01.1973;7/17/2002 ;1;5;71;1230 MARKET STREET;Clarksville;AR;72830;Supercenter
67;07.01.1973;03.01.1995;1;5;113;600 HWY 71 NORTH;Mena;AR;71953;Supercenter
68;08.01.1973;8/20/2003 ;1;5;37;800 HWY 64 EAST;Wynne;AR;72396;Supercenter
69;12.01.1973;03.01.1993;1;29;99;650 SOUTH TRUMAN BLVD;Festus;MO;63028;Supercenter
70;07.01.1974;03.01.1997;1;5;35;798 WEST SERVICE ROAD;West Memphis;AR;72301;Supercenter
71;11.01.1973;03.01.1994;1;5;121;1415 HWY 67 SOUTH;Pocahontas;AR;72455;Supercenter
72;01.01.1974;03.01.1994;1;20;37;2710 N BROADWAY;Pittsburg;KS;66762;Supercenter
73;10.01.1974;03.01.1999;1;40;37;1002 WEST TAFT;Sapulpa;OK;74066;Supercenter
74;11.01.1973;;;5;93;1051 WEST KEISER AVENUE;Osceola;AR;72370;Wal-Mart
75;11/13/1984 ;03.01.1998;1;22;79;3636 MONROE HIGHWAY;Pineville;LA;71360;Supercenter
76;11.01.1973;03.01.1993;1;5;15;1000 WEST TRIMBLE;Berryville;AR;72616;Supercenter
77;10/30/1979 ;7/21/2004 ;1;48;491;3701 NORTH MAIN ST.;Taylor;TX;76574;Supercenter
78;09.01.1973;;;29;225;1331 SPUR DR/ BUS. RT US HWY66;Marshfield;MO;65706;Wal-Mart
79;04.01.1974;03.01.1999;1;29;97;2623 WEST 7TH STREET;Joplin;MO;64801;Supercenter
80;06.01.1973;;;29;19;401 N STADIUM BL/BISCAYNE MALL;Columbia;MO;65201;Wal-Mart
81;06.01.1973;10/26/2005 ;1;40;1;ROUTE 6 BOX 1895;Stilwell;OK;74960;Supercenter
82;04.01.1974;03.01.1998;1;29;157;1750 S. PERRYVILLE;Perryville;MO;63775;Supercenter
83;08.01.1974;8/20/2003 ;1;5;27;60 79-BYPASS NORTH;Magnolia;AR;71753;Supercenter
84;05.01.1974;;;5;95;PINECREST PLAZA SHOPPING CTR;Brinkley;AR;72021;Wal-Mart
85;04.01.1974;03.01.1996;1;5;125;17309 I-30;Benton;AR;72015;Supercenter
86;12.01.1973;03.01.1994;1;29;77;2825 N KANSAS EXPRESSWAY;Springfield;MO;65803;Supercenter
87;07.01.1974;03.01.1999;1;22;119;1379 HOMER ROAD;Minden;LA;71055;Supercenter
88;02.01.1974;03.01.1994;1;29;229;2100 NORTH MAIN;Mt. Grove;MO;65711;Supercenter
89;02.01.1974;4/13/2005 ;1;29;29;94 CECIL STREET;Camdenton;MO;65020;Supercenter
90;04.01.1974;03.01.1995;1;40;41;2115 S MAIN ST;Grove;OK;74344;Supercenter
91;09.01.1974;03.01.1994;1;5;123;205 DEADRICK ROAD;Forrest City;AR;72335;Supercenter
92;04.01.1974;;;29;109;3020 SOUTH ELLIOTT;Aurora;MO;65605;Wal-Mart
93;10.01.1974;;;47;167;975 US HIGHWAY 51 NORTH;Covington;TN;38019;Wal-Mart
94;07.01.1974;03.01.1997;1;47;157;8445 HWY 51 NORTH;Millington;TN;38053;Supercenter
95;10.01.1974;5/21/2003 ;1;29;187;407 NO. STATE ST;Desloge;MO;63601;Supercenter
96;10.01.1974;03.01.1994;1;29;37;1700 NORTH 291 HIGHWAY;Harrisonville;MO;64701;Supercenter
97;11.01.1974;03.01.1994;1;47;97;628 HWY 51 BYPASS;Ripley;TN;38063;Supercenter
98;02.01.1975;;;22;67;2030 EAST MADISON;Bastrop;LA;71220;Wal-Mart
99;02.01.1976;03.01.1995;1;29;71;1445 E CENTRAL;Union;MO;63084;Supercenter
100;10.01.1974;03.01.1992;1;5;7;406 SOUTH WALTON BLVD;Bentonville;AR;72712;Supercenter
101;02.01.1976;03.01.1994;1;29;161;500 SOUTH BISHOP;Rolla;MO;65401;Supercenter
102;09.01.1974;03.01.1995;1;5;1;406 E 22ND STREET;Stuttgart;AR;72160;Supercenter
103;08.01.1975;8/25/2004 ;1;40;125;196 SHAWNEE MALL DRIVE;Shawnee;OK;74804;Supercenter
104;07.01.1974;;;47;53;15427 SO. FIRST STREET;Milan;TN;38358;Wal-Mart
105;08.01.1974;03.01.1994;1;28;3;2301 HARPER ROAD;Corinth;MS;38834;Supercenter
106;08.01.1974;10/20/2004 ;1;21;75;1405 MIDDLE ROAD;Fulton;KY;42041;Supercenter
107;10.01.1974;;;47;183;850 WAL-MART DRIVE;Martin;TN;38237;Wal-Mart
108;02.01.1975;;;40;83;1618 SOUTH DIVISION;Guthrie;OK;73044;Wal-Mart
109;02.01.1975;03.01.1995;1;29;63;2000 NORTH WALNUT;Cameron;MO;64429;Supercenter
111;11.01.1975;6/25/2003 ;1;20;133;2700 SOUTH SANTA FE;Chanute;KS;66720;Supercenter
112;04.01.1975;03.01.2002;1;28;105;1010 HWY 12 WEST;Starkville;MS;39759;Supercenter
113;07.01.1975;1/27/2006 ;1;40;51;2001 SO. 1ST ST.;Chickasha;OK;73018;Supercenter
114;04.01.1975;;;28;117;200 WALMART CIRCLE;Booneville;MS;38829;Wal-Mart
115;09.01.1976;;;28;25;1445 HWY 45 NORTH;West Point;MS;39773;Wal-Mart
116;08.01.1975;;;22;17;929 SOUTH PINE STREET;Vivian;LA;71082;Wal-Mart
117;06.01.1975;;;40;89;501 SOUTH PARK DRIVE;Broken Bow;OK;74728;Wal-Mart
118;04.01.1976;03.01.1993;1;28;95;1515 US HWY 278 EAST;Amory;MS;38821;Supercenter
119;03.01.1976;03.01.1994;1;5;63;3150 HARRISON STREET;Batesville;AR;72501;Supercenter
120;03.01.1976;;;47;53;2716 NORTH CENTRAL AVENUE;Humboldt;TN;38343;Wal-Mart
121;09.01.1975;03.01.1994;1;40;111;1800 SOUTH WOOD DRIVE;Okmulgee;OK;74447;Supercenter
122;11.01.1975;03.01.1999;1;29;31;3051 EAST JACKSON BLVD.;Jackson;MO;63755;Supercenter
123;06.01.1975;10/29/2003 ;1;40;133;1500 E. WRANGLER BLVD;Seminole;OK;74868;Supercenter
124;03.01.1975;03.01.1999;1;5;119;8801 BASELINE ROAD;Little Rock;AR;72209;Supercenter
125;04.01.1975;03.01.1999;1;5;131;2425 SOUTH ZERO ST;Fort Smith;AR;72901;Supercenter
126;03.01.1976;;;5;119;700 SOUTH BOWMAN BLV;Little Rock;AR;72211;Wal-Mart
127;02.01.1976;4/13/2005 ;1;5;59;1910 MARTIN LUTHER KING BLVD;Malvern;AR;72104;Supercenter
128;08.01.1978;03.01.1998;1;5;31;1911 WEST PARKER RD;Jonesboro;AR;72404;Supercenter
129;07.01.1975;03.01.1994;1;40;19;1715 NORTH COMMERCE STREET;Ardmore;OK;73401;Supercenter
130;07.01.1975;8/25/2004 ;1;40;101;1000 WEST SHAWNEE ST;Muskogee;OK;74403;Supercenter
131;11.01.1975;03.01.1990;1;48;449;2311 SOUTH JEFFERSON;Mt. Pleasant;TX;75455;Supercenter
132;02.01.1976;;;40;73;1213 SOUTH MAIN STREET;Kingfisher;OK;73750;Wal-Mart
133;05.01.1976;;;5;81;1040 S CONSTITUTION;Ashdown;AR;71822;Wal-Mart
134;08.01.1976;;;40;9;3105 WEST 3RD;Elk City;OK;73644;Wal-Mart
135;04.01.1976;10/27/2004 ;1;29;117;1000 GRAVES ST.;Chillicothe;MO;64601;Supercenter
136;04.01.1976;;;40;71;1219 WEST DOOLIN;Blackwell;OK;74631;Wal-Mart
137;10.01.1976;03.01.1994;1;40;119;111 NORTH PERKINS ROAD;Stillwater;OK;74075;Supercenter
138;11.01.1977;;;29;77;1923 EAST KEARNEY;Springfield;MO;65803;Wal-Mart
139;07.01.1976;;;40;87;1620 NORTH GREEN AVENUE;Purcell;OK;73080;Wal-Mart
140;09.01.1976;7/17/2002 ;1;48;5;2500 DANIEL MCCALL DRIVE;Lufkin;TX;75901;Supercenter
141;05.01.1976;03.01.1997;1;5;131;8301 ROGERS AVENUE;Fort Smith;AR;72903;Supercenter
142;05.01.1976;;;48;387;2204 HWY 82 WEST;Clarksville;TX;75426;Wal-Mart
143;06.01.1976;03.01.2000;1;21;157;310 WEST 5TH STREET;Benton;KY;42025;Supercenter
144;09.01.1976;03.01.1994;1;5;143;2875 WEST 6TH STREET;Fayetteville;AR;72704;Supercenter
145;10.01.1976;;;29;163;3310 W GEORGIA STREET;Louisiana;MO;63353;Wal-Mart
146;03.01.1976;03.01.1997;1;48;459;1923 NORTH WOOD;Gilmer;TX;75644;Supercenter
147;07.01.1976;03.01.1995;1;48;181;401 NORTH US HWY 75;Denison;TX;75020;Supercenter
148;06.01.1976;03.01.1996;1;48;277;3855 LAMAR AVENUE;Paris;TX;75460;Supercenter
149;03.01.1977;03.01.2000;1;22;49;184 OLD WINFIELD RD;Jonesboro;LA;71251;Supercenter
150;10.01.1976;03.01.1998;1;40;153;3215 WILLIAMS AVENUE;Woodward;OK;73801;Supercenter
151;03.01.1977;03.01.1994;1;40;121;432 SOUTH GEORGE NIGH EXWY;McAlester;OK;74501;Supercenter
152;12.01.1976;10/27/2004 ;1;29;99;12862 STATE ROAD 21;De Soto;MO;63020;Supercenter
153;10.01.1976;03.01.1994;1;28;145;202 PARK PLAZA;New Albany;MS;38652;Supercenter
155;08.01.1977;03.01.1994;1;28;137;5219 HWY 51 NORTH;Senatobia;MS;38668;Supercenter
156;01.01.1977;;;29;155;STATE HWY 84 WEST;Caruthersville;MO;63830;Wal-Mart
157;01.01.1977;03.01.1994;1;5;145;3509 EAST RACE AVENUE;Searcy;AR;72143;Supercenter
158;05.01.1977;03.01.1997;1;48;147;2021 NORTH HWY 121;Bonham;TX;75418;Supercenter
159;03.01.1977;03.01.1998;1;29;19;415 CONLEY ROAD;Columbia;MO;65201;Supercenter
160;01.01.1977;03.01.1994;1;5;135;219 HIGHWAY 412;Ashflat;AR;72513;Supercenter
161;05.01.1977;2/20/2002 ;1;47;17;180 VETERANS DRIVE N;Huntingdon;TN;38344;Supercenter
162;06.01.1977;03.01.1997;1;40;15;1201 WEST PETREE RD;Anadarko;OK;73005;Supercenter
163;02.01.1977;03.01.1993;1;48;347;4810 NORTH STREET;Nacogdoches;TX;75965;Supercenter
164;02.01.1977;;;28;115;350 WAL-MART CIRCLE;Pontotoc;MS;38863;Wal-Mart
165;05.01.1977;03.01.1996;1;48;401;2121 HWY 79 SOUTH;Henderson;TX;75654;Supercenter
166;03.01.1977;10/30/2002 ;1;29;215;1433 SO. SAM HOUSTON BLVD;Houston;MO;65483;Supercenter
167;04.01.1977;1/26/2005 ;1;5;3;910 UNITY ROAD;Crossett;AR;71635;Supercenter
168;02.07.1978;03.01.2000;1;40;143;12101 E 96TH ST. N;Owasso;OK;74055;Supercenter
169;09.01.1977;;;5;85;1400 NORTH CENTER;Lonoke;AR;72086;Wal-Mart
170;10.01.1977;03.01.1995;1;22;69;925 KEYSER AVE;Natchitoches;LA;71457;Supercenter
171;11.01.1977;;;5;103;1270 STATE HWY 4 BYPASS SW;Camden;AR;71701;Wal-Mart
172;07.01.1977;03.01.1988;1;29;71;5886 HWY 100;Washington;MO;63090;Supercenter
173;10.01.1977;5/21/2003 ;1;29;221;#1 MEMORIAL DRIVE;Potosi;MO;63664;Supercenter
174;10/15/1985 ;1/26/2005 ;1;12;9;2700 CLEARLAKE ROAD;Rockledge;FL;32922;Supercenter
175;11.01.1977;03.01.1996;1;47;157;560 WEST POPLAR AVE;Collierville;TN;38017;Supercenter
176;07.01.1977;;;28;139;822 CITY AVENUE SOUTH;Ripley;MS;38663;Wal-Mart
177;11.01.1977;03.01.1997;1;47;79;1210 MINERAL WELL AV;Paris;TN;38242;Supercenter
178;11.01.1977;03.01.1997;1;40;151;914 E OKLAHOMA BLVD;Alva;OK;73717;Supercenter
179;02.01.1977;3/14/2001 ;1;29;77;3520 W SUNSHINE ST.;Springfield;MO;65807;Supercenter
180;3/14/1978 ;03.01.1994;1;48;73;1311 SOUTH JACKSON;Jacksonville;TX;75766;Supercenter
181;08.08.1978;5/18/2005 ;1;48;37;800 JAMES BOWIE DRIVE;New Boston;TX;75570;Supercenter
182;06.01.1979;7/18/2001 ;1;28;151;1831 S DR MARTIN L. KING BLVD;Greenville;MS;38701;Supercenter
183;10.01.1977;8/25/2004 ;1;28;159;159 HIGHWAY 15 SOUTH;Louisville;MS;39339;Supercenter
184;02.01.1978;5/25/2005 ;1;29;95;600 N.E. CORONADO DRIVE;Blue Springs;MO;64014;Supercenter
185;7/21/1993 ;03.01.2002;1;48;97;1800 LAWRENCE ST.;Gainesville;TX;76240;Supercenter
186;11.01.1977;10/27/2004 ;1;20;15;301 SO. VILLAGE ROAD;El Dorado;KS;67042;Supercenter
188;07.01.1977;03.01.1994;1;29;31;3439 WILLIAMS STREET;Cape Girardeau;MO;63701;Supercenter
189;07.01.1977;03.01.1993;1;29;1;2206 NORTH BALTIMORE;Kirksville;MO;63501;Supercenter
190;07.01.1977;03.01.1995;1;29;69;1500 EAST FIRST ST;Kennett;MO;63857;Supercenter
192;9/15/1981 ;3/20/2002 ;1;47;119;2200 BROOKMEAD DRIVE;Columbia;TN;38401;Supercenter
194;1/22/1985 ;7/18/2001 ;1;48;201;4900 GARTH ROAD;Baytown;TX;77520;Supercenter
195;07.01.1977;;;29;47;2203 PATSY LANE;Excelsior Springs;MO;64024;Wal-Mart
196;07.01.1977;03.01.1993;1;17;77;1450 EAST MAIN;Carbondale;IL;62901;Supercenter
197;07.01.1977;8/27/2003 ;1;17;109;1730 E JACKSON ROAD;Macomb;IL;61455;Supercenter
198;07.01.1977;4/16/2003 ;1;17;121;1870 WEST MAIN ST.;Salem;IL;62881;Supercenter
199;07.01.1977;;;17;107;1501 WOODLAWN ROAD;Lincoln;IL;62656;Wal-Mart
200;07.01.1977;;;17;137;1205 W MORTON ROAD;Jacksonville;IL;62650;Wal-Mart
201;07.01.1977;;;17;163;120 CARLYLE PLAZA DRIVE;Belleville;IL;62221;Wal-Mart
203;8/29/1978 ;03.01.1998;1;29;115;937 PARK CIRCLE DR;Brookfield;MO;64628;Supercenter
204;2/14/1978 ;;;21;33;500 US HWY 62 WEST;Princeton;KY;42445;Wal-Mart
205;3/28/1978 ;03.01.1994;1;28;99;1002 BEACON STREET;Philadelphia;MS;39350;Supercenter
206;3/28/1978 ;7/20/2005 ;1;48;85;2041 REDBUD BLVD;McKinney;TX;75069;Supercenter
207;3/21/1978 ;;;40;117;1004 NORTH BROADWAY;Cleveland;OK;74020;Wal-Mart
208;04.04.1978;;;20;21;2970 MILITARY AVENUE;Baxter Springs;KS;66713;Wal-Mart
209;06.01.1978;;;5;47;1516 NORTH 18TH STREET;Ozark;AR;72949;Wal-Mart
210;7/18/1978 ;;;40;63;500 EAST HIGHWAY 270;Holdenville;OK;74848;Wal-Mart
211;09.12.1978;03.01.1998;1;48;217;401 COKE STREET;Hillsboro;TX;76645;Supercenter
212;11.01.1977;03.01.1999;1;40;27;333 INTERSTATE DRIVE;Norman;OK;73069;Supercenter
213;5/16/1978 ;03.01.1999;1;17;135;1205 WEST FERDON ST;Litchfield;IL;62056;Supercenter
214;10.10.1978;03.01.1994;1;48;241;800 WEST GIBSON;Jasper;TX;75951;Supercenter
215;5/15/1979 ;;;28;97;620 SOUTH APPLEGATE ST;Winona;MS;38967;Wal-Mart
216;3/27/1979 ;;;17;199;2705 WALTON WAY;Marion;IL;62959;Wal-Mart
217;09.05.1978;03.01.1999;1;48;121;801 WEST MAIN;Lewisville;TX;75067;Supercenter
218;04.10.1979;03.01.1998;1;47;109;1017 MULBERRY AVENUE;Selmer;TN;38375;Supercenter
