storenum;OPENDATE;date_super;conversion;st;county;STREETADDR;STRCITY;STRSTATE;ZIPCODE;type_store
870;10/22/1985 ;03.01.1999;1;18;37;4040 NEWTON STREET;Jasper;IN;47546;Supercenter
871;10.01.1985;;;29;91;101 W HIGHWAY 60;Mountain View;MO;65548;Wal-Mart
872;04.01.1986;9/14/2005 ;1;48;39;1919 NORTH MAIN;Pearland;TX;77581;Supercenter
873;03.04.1986;;;35;55;926 PASEO DEL PUEBLO SUR;Taos;NM;87571;Wal-Mart
874;11.12.1985;03.01.1995;1;28;1;314 SGT. S. PRENTISS DR.;Natchez;MS;39120;Supercenter
875;4/29/1986 ;10/20/2004 ;1;28;89;815 S. WHEATLEY ROAD;Ridgeland;MS;39157;Supercenter
876;4/29/1986 ;;;22;85;155 SAN ANTONIO AVE;Many;LA;71449;Wal-Mart
877;03.04.1986;03.01.2000;1;37;179;2406 W ROOSEVELT BLV;Monroe;NC;28110;Supercenter
878;10/29/1985 ;03.01.1997;1;13;117;1500 MARKETPLACE BLVD.;Cummings;GA;30041;Supercenter
879;12/31/1985 ;03.01.2000;1;47;111;419 HWY 52 BYPASS W;Lafayette;TN;37083;Supercenter
880;11.11.1986;10/29/2003 ;1;48;113;4100 WEST AIRPORT FREEWAY;Irving;TX;75061;Supercenter
881;11.12.1985;03.01.1997;1;45;63;5556 SUNSET BLVD;Lexington;SC;29072;Supercenter
882;02.04.1986;3/20/2002 ;1;55;23;38020 U.S. HIGHWAY 18;Prairie du Chien;WI;53821;Supercenter
883;02.04.1986;10/26/2005 ;1;48;489;14091 FM 490;Raymondville;TX;78580;Supercenter
884;3/18/1986 ;10/29/2003 ;1;18;145;2500 PROGRESS PARKWAY;Shelbyville;IN;46176;Supercenter
885;04.01.1986;4/13/2005 ;1;31;159;1326 280TH ROAD;Seward;NE;68434;Supercenter
886;03.11.1986;03.01.1998;1;19;187;3036 1ST AVE. SOUTH;Ft. Dodge;IA;50501;Supercenter
887;02.03.1987;5/15/2002 ;1;28;35;805 HIGHWAY 42;Petal;MS;39465;Supercenter
888;6/17/1986 ;;;29;13;1005 W FT SCOTT;Butler;MO;64730;Wal-Mart
889;03.11.1986;03.01.1996;1;13;275;15328 US 19 SOUTH;Thomasville;GA;31757;Supercenter
890;5/20/1986 ;03.01.1999;1;12;95;11250 E. COLONIAL DR;Orlando;FL;32817;Supercenter
891;02.03.1987;03.01.1998;1;17;195;4115 E LINCOLN WAY;Sterling;IL;61081;Supercenter
892;03.11.1986;03.01.1999;1;19;153;1002 SE NATIONAL DR;Ankeny;IA;50021;Supercenter
893;06.03.1986;;;40;49;401 LINWOOD PLAZA;Lindsay;OK;73052;Wal-Mart
894;08.05.1986;;;40;143;7777 EAST 42ND PLACE SOUTH;Tulsa;OK;74145;Wal-Mart
895;07.01.1986;;;29;55;100 OZARK DR;Cuba;MO;65453;Wal-Mart
896;09.02.1986;6/20/2001 ;1;48;439;2225 W INTERSTATE 20;Grand Prairie;TX;75052;Supercenter
897;03.05.1986;;;48;371;1700 WEST DICKINSON;Ft. Stockton;TX;79735;Wal-Mart
898;5/20/1986 ;;;48;389;1903 SOUTH CEDAR;Pecos;TX;79772;Wal-Mart
899;06.03.1986;8/25/2004 ;1;13;185;340 NORMAN DRIVE;Valdosta;GA;31601;Supercenter
900;06.03.1986;;;48;75;2211 AVENUE F NORTHWEST;Childress;TX;79201;Wal-Mart
901;3/18/1986 ;03.01.1995;1;48;187;550 SOUTH 123 BYPASS;Sequin;TX;78155;Supercenter
902;03.04.1986;5/16/2001 ;1;18;133;1750 E INDIANAPOLIS;Greencastle;IN;46135;Supercenter
903;4/29/1986 ;03.01.1998;1;28;49;2711 GREENWAY DRIVE;Jackson;MS;39204;Supercenter
904;1/21/1986 ;03.01.1994;1;1;3;2200 SOUTH MCKENZIE ST;Foley;AL;36535;Supercenter
905;06.10.1986;;;8;13;800 SOUTH HOVER ROAD;Longmont;CO;80501;Wal-Mart
906;7/15/1986 ;03.01.1999;1;35;31;1650 WEST MALONEY AVE.;Gallup;NM;87301;Supercenter
907;4/29/1986 ;;;13;207;120 NORTH LEE STREET;Forsyth;GA;31029;Wal-Mart
908;7/15/1986 ;03.01.1999;1;12;95;8101 SOUTH JOHN YOUNG PARKWAY;Orlando;FL;32819;Supercenter
909;06.10.1986;6/15/2005 ;1;22;87;8101 W. JUDGE PEREZ DR.;Chalmette;LA;70043;Supercenter
910;03.04.1986;5/19/2004 ;1;55;127;201 SOUTH EDWARDS BOULEVARD;Lake Geneva;WI;53147;Supercenter
911;06.10.1986;4/16/2003 ;1;22;51;4810 LAPALCO BLVD;Harvey;LA;70072;Supercenter
912;06.10.1986;;;22;71;6901 BUNDY RD;New Orleans;LA;70127;Wal-Mart
913;3/18/1986 ;1/28/2004 ;1;19;191;1798 OLD STAGE ROAD;Decorah;IA;52101;Supercenter
914;07.08.1986;;;29;9;1011 OLD EXETER ROAD;Cassville;MO;65625;Wal-Mart
915;08.05.1986;03.01.1999;1;48;157;11210 W AIRPORT BLVD;Stafford;TX;77477;Supercenter
916;08.12.1986;03.01.1994;1;28;73;6072 U.S. HIGHWAY 98;Hattiesburg;MS;39402;Supercenter
917;07.08.1986;;;48;307;2309 SOUTH BRIDGE;Brady;TX;76825;Wal-Mart
918;04.01.1986;03.01.1994;1;48;203;1701 EAST END BLVD N;Marshall;TX;75670;Supercenter
919;6/17/1986 ;03.01.1998;1;12;91;748 BEAL PKWY N.W.;Ft. Walton Beach;FL;32547;Supercenter
921;03.05.1986;03.01.1997;1;8;15;7865 WEST HWY 50;Salida;CO;81201;Supercenter
922;6/17/1986 ;03.01.1994;1;18;61;2363 HWY 135 NW;Corydon;IN;47112;Supercenter
923;4/29/1986 ;03.01.1998;1;18;57;16865 CLOVER ROAD;Noblesville;IN;46060;Supercenter
924;03.11.1986;03.01.1995;1;8;75;1510 WEST MAIN;Sterling;CO;80751;Supercenter
925;03.11.1986;;;12;57;11720 DR MARTIN L KING JR BLVD;Seffner;FL;33584;Wal-Mart
926;9/16/1986 ;;;48;47;RT 2/BOX 200/US HWY 281 SOUTH;Falfurrias;TX;78355;Wal-Mart
927;08.05.1986;7/21/2004 ;1;48;189;1501 NORTH I-27;Plainview;TX;79072;Supercenter
929;8/19/1986 ;10/16/2002 ;1;12;111;10855 SO. US HWY #1;Port St. Lucie;FL;34952;Supercenter
930;07.01.1986;03.01.1999;1;1;101;3801 EASTERN BLVD;Montgomery;AL;36116;Supercenter
931;09.02.1986;03.01.1997;1;12;61;5555 20TH STREET;Vero Beach;FL;32966;Supercenter
932;7/15/1986 ;1/22/2003 ;1;13;255;1569 NORTH EXPRESSWAY;Griffin;GA;30223;Supercenter
933;9/30/1986 ;;;17;141;1240 NORTH 7TH STREET;Rochelle;IL;61068;Wal-Mart
934;7/15/1986 ;03.01.1995;1;1;3;27520 HWY 98;Daphne;AL;36526;Supercenter
935;9/30/1986 ;03.01.1999;1;22;63;904 SOUTH RANGE AVENUE;Denham Springs;LA;70726;Supercenter
936;11/18/1986 ;03.01.2002;1;17;49;1204 AVENUE OF MID-AMERICA;Effingham;IL;62401;Supercenter
937;09.02.1986;5/25/2005 ;1;13;67;2795 CHASTAIN MEADOWS PKWY NW;Kennesaw;GA;30066;Supercenter
938;07.01.1986;03.01.2002;1;1;101;6495 ATLANTA HWY;Montgomery;AL;36117;Supercenter
939;09.02.1986;03.01.1998;1;48;309;4320 FRANKLIN AVE;Waco;TX;76710;Supercenter
940;7/15/1986 ;;;48;439;1401 SOUTH CHERRY LANE;White Settlement;TX;76108;Wal-Mart
941;9/30/1986 ;;;12;57;949 EAST BLOOMINGDALE AVE.;Brandon;FL;33511;Wal-Mart
942;7/15/1986 ;8/14/2002 ;1;12;95;10500 WEST COLONIAL DRIVE;Ocoee;FL;34761;Supercenter
943;9/30/1986 ;05.11.2005;1;12;117;1241 STATE ROAD 436;Casselberry;FL;32707;Supercenter
944;6/17/1986 ;03.01.1994;1;12;91;3351 S FERDON BLVD;Crestview;FL;32539;Supercenter
945;07.01.1986;03.01.1995;1;48;303;702 WEST LOOP 289;Lubbock;TX;79416;Supercenter
946;02.03.1987;;;29;223;#15 HALS PLAZA DR;Piedmont;MO;63957;Wal-Mart
947;8/19/1986 ;03.01.1995;1;48;181;401 EAST HWY 82;Sherman;TX;75090;Supercenter
948;05.12.1987;04.06.2005;1;37;35;2525 HWY 70 SE;Hickory;NC;28602;Supercenter
949;09.02.1986;3/17/2004 ;1;48;113;3155 W. WHEATLAND  ROAD;Duncanville;TX;75237;Supercenter
950;09.02.1986;03.01.1998;1;47;157;8400 HIGHWAY 64;Memphis;TN;38133;Supercenter
951;09.02.1986;;;48;473;625 HWY 290 EAST;Hempstead;TX;77445;Wal-Mart
952;09.09.1986;03.01.1997;1;13;71;641 EAST BYPASS S.E.;Moultrie;GA;31768;Supercenter
953;08.12.1986;4/17/2002 ;1;8;69;1325 NORTH DENVER AVE;Loveland;CO;80537;Supercenter
954;9/30/1986 ;;;28;29;110 MARKET PLACE;Hazlehurst;MS;39083;Wal-Mart
955;09.02.1986;03.01.1998;1;12;95;1700 S ORG BLSMTRAIL;Apopka;FL;32703;Supercenter
956;8/19/1986 ;;;12;9;1001 EAST EAU GALLIE BLVD;Melbourne;FL;32937;Wal-Mart
957;9/16/1986 ;;;17;73;125 EAST BESTER DRIVE;Geneseo;IL;61254;Wal-Mart
958;11.11.1986;;;55;43;1535 BUSINESS 151;Platteville;WI;53818;Wal-Mart
959;09.09.1986;10/16/2002 ;1;12;119;2163 WEST C-48;Bushnell;FL;33513;Supercenter
960;09.09.1986;10/16/2002 ;1;12;83;11012 NO. WILLIAMS ST.;Dunnellon;FL;34432;Supercenter
961;02.03.1987;10/20/2004 ;1;22;95;1616 W AIRLINE HWY;La Place;LA;70068;Supercenter
962;9/16/1986 ;03.01.1998;1;8;71;2921 TOUPAL DRIVE;Trinidad;CO;81082;Supercenter
963;1/13/1987 ;03.01.1994;1;48;367;1836 S. MAIN STREET;Weatherford;TX;76086;Supercenter
964;02.03.1987;03.01.2004;1;48;141;9441 ALAMEDA AVE;El Paso;TX;79907;Supercenter
965;9/16/1986 ;03.01.2002;1;55;81;222 WEST MCCOY BLVD;Tomah;WI;54660;Supercenter
966;09.09.1986;03.01.2000;1;8;83;1835 EAST MAIN ST;Cortez;CO;81321;Supercenter
967;9/16/1986 ;4/16/2003 ;1;12;53;1485 COMMERCIAL WAY;Springhill;FL;34606;Supercenter
968;08.05.1986;;;12;105;355 CYPRESS GARDEN BLVD;Winter Haven;FL;33880;Wal-Mart
969;11/18/1986 ;03.01.1996;1;28;47;9350-A HIGHWAY 49;Gulfport;MS;39503;Supercenter
970;11/18/1986 ;03.01.1996;1;28;109;235 FRONTAGE RD;Picayune;MS;39466;Supercenter
971;10/28/1986 ;03.01.2000;1;55;123;1133 NORTH MAIN ST;Viroqua;WI;54665;Supercenter
972;02.03.1987;03.01.2000;1;48;439;6360 LAKE WORTH BLVD;Lake Worth;TX;76135;Supercenter
973;8/18/1987 ;03.01.1998;1;12;111;5100 OKEECHOBEE ROAD;Fort Pierce;FL;34947;Supercenter
974;11.11.1986;03.01.1998;1;12;9;845 PALM BAY ROAD;Melbourne;FL;32904;Supercenter
975;11.11.1986;9/18/2002 ;1;40;13;3712 WEST MAIN;Durant;OK;74701;Supercenter
976;11/18/1986 ;03.01.1996;1;22;41;3360 FRONT STREET;Winnsboro;LA;71295;Supercenter
977;11.11.1986;;;12;89;1757 SOUTH 14TH STREET;Fernandina Beach;FL;32034;Wal-Mart
978;1/13/1987 ;;;20;35;2715 NORTH SUMMIT;Arkansas City;KS;67005;Wal-Mart
979;11/18/1986 ;9/17/2003 ;1;55;81;1600 WEST WISCONSIN ST.;Sparta;WI;54656;Supercenter
980;11/18/1986 ;03.01.1994;1;8;123;3103 23RD AVENUE;Greeley;CO;80631;Supercenter
981;11/18/1986 ;03.01.2002;1;28;75;1733 2ND STREET SOUTH;Meridian;MS;39301;Supercenter
982;11/18/1986 ;3/14/2001 ;1;27;147;1130 W FRONTAGE RD;Owatonna;MN;55060;Supercenter
983;02.03.1987;;;27;43;1210 GIANT DRIVE;Blue Earth;MN;56013;Wal-Mart
984;11/18/1986 ;03.01.2000;1;8;35;4400 FRONT STREET;Castle Rock;CO;80104;Supercenter
985;11.11.1986;;;19;101;1800 W. BURLINGTON AVE.;Fairfield;IA;52556;Wal-Mart
986;02.03.1987;;;8;117;840 SUMMIT BLVD.;Frisco;CO;80443;Wal-Mart
987;3/31/1987 ;03.01.1995;1;12;71;14821 SIX MILE CYPRESS PKWY;Ft. Myers;FL;33912;Supercenter
988;1/13/1987 ;;;12;101;21703 VILLAGE LAKES SHP/CTR;Land 'O' Lakes;FL;34639;Wal-Mart
989;11.11.1986;;;22;51;8843 VETERANS MEMORIAL BLVD;Metairie;LA;70003;Wal-Mart
990;9/16/1986 ;03.01.2000;1;12;113;4965 HIGHWAY 90;Milton;FL;32571;Supercenter
991;11.11.1986;5/15/2002 ;1;1;97;101 SOUTH BELTLINE HIGHWAY;Mobile;AL;36606;Supercenter
992;02.03.1987;03.01.1994;1;40;143;2019 EAST 81ST ST SOUTH;Tulsa (SW);OK;74137;Supercenter
993;11/18/1986 ;3/17/2004 ;1;20;113;205 SO. CENTENNIAL DRIVE;McPherson;KS;67460;Supercenter
994;02.03.1987;03.01.2002;1;12;101;8745 STATE ROAD 54;New Port Richey;FL;34655;Supercenter
995;02.03.1987;03.01.1996;1;18;81;2125 NORTH MORTON ST.;Franklin;IN;46131;Supercenter
996;02.03.1987;;;18;119;823 WEST STATE HIGHWAY 46;Spencer;IN;47460;Wal-Mart
1000;02.03.1987;;;48;61;2721 BOCA CHICA BLVD;Brownsville;TX;78521;Wal-Mart
1001;02.03.1987;07.10.2002;1;8;101;4080 WEST NORTHERN AVE.;Pueblo;CO;81005;Supercenter
1002;03.03.1987;03.01.1996;1;18;55;2251 E. STATES HWY 54;Linton;IN;47441;Supercenter
1003;02.03.1987;03.01.1996;1;17;93;6800 WEST ROUTE 34;Plano;IL;60545;Supercenter
1004;3/31/1987 ;03.01.1996;1;12;81;5315 CORTEZ RD WEST;Brandenton;FL;34210;Supercenter
1005;03.03.1987;;;19;17;1201 4TH S.W.;Waverly;IA;50677;Wal-Mart
1006;10/28/1986 ;03.01.1998;1;13;81;1215 EAST 16TH;Cordele;GA;31015;Supercenter
1007;02.03.1987;03.01.2000;1;55;103;2401 HWY 14 EAST;Richland Center;WI;53581;Supercenter
1008;03.03.1987;;;8;69;4625 SOUTH MASON;Fort Collins;CO;80525;Wal-Mart
1009;3/31/1987 ;9/18/2002 ;1;29;77;1150 US HWY 60 EAST;Republic;MO;65738;Supercenter
1010;11/18/1986 ;7/20/2005 ;1;37;153;720 E HIGHWAY 74 BUSINESS;Rockingham;NC;28379;Supercenter
1011;11.11.1986;03.01.1996;1;13;103;434 SOUTH COLUMBIA AVE;Rincon;GA;31326;Supercenter
1012;05.12.1987;8/25/2004 ;1;55;27;120 FRANCES LANE;Beaver Dam;WI;53916;Supercenter
1013;03.03.1987;;;18;165;1795 EAST STATE ROAD 163;Clinton;IN;47842;Wal-Mart
1014;11/18/1986 ;;;29;95;4000 SOUTH BOLGER DR;Independence;MO;64055;Wal-Mart
1015;3/31/1987 ;03.01.1998;1;48;141;7555 N. MESA;El Paso;TX;79912;Supercenter
1016;4/28/1987 ;03.01.2000;1;22;57;410 N CANAL BLVD;Thibodaux;LA;70301;Supercenter
1017;03.03.1987;;;45;27;481 WEST BOYCE STREET;Manning;SC;29102;Wal-Mart
1018;06.02.1987;4/13/2005 ;1;13;91;1099 INDIAN DRIVE;Eastman;GA;31023;Supercenter
1019;05.12.1987;03.01.1999;1;8;43;3105 HWY 50 EAST;Canon City;CO;81212;Supercenter
1020;06.02.1987;10/29/2003 ;1;27;47;1550 BLAKE AVENUE;Albert Lea;MN;56007;Supercenter
1021;05.12.1987;7/21/2004 ;1;29;219;500 WARREN COUNTY CENTER;Warrenton;MO;63383;Supercenter
1022;6/16/1987 ;6/16/2004 ;1;48;423;3820 HWY 64 WEST;Tyler;TX;75704;Supercenter
1023;3/31/1987 ;03.01.1999;1;51;640;1140 EAST STUART DRIVE;Galax;VA;24333;Supercenter
1024;4/28/1987 ;4/13/2005 ;1;13;107;414 SO. MAIN ST.;Swainsboro;GA;30401;Supercenter
1025;4/28/1987 ;03.01.1998;1;28;113;1608 SMITHDALE RD;McComb;MS;39648;Supercenter
1026;3/31/1987 ;;;18;93;2649 WEST 16TH STREET;Bedford;IN;47421;Wal-Mart
1027;6/30/1987 ;7/16/2003 ;1;37;25;150 CONCORD COMMONS;Concord;NC;28027;Supercenter
1028;05.12.1987;03.01.1998;1;17;179;401 RIVER ROAD;East Peoria;IL;61611;Supercenter
1029;6/30/1987 ;;;12;17;3826 SOUTH SUNCOAST BLVD;Homosassa Springs;FL;34446;Wal-Mart
1030;03.03.1987;03.01.1999;1;45;57;805 HWY 9 BYPASS WEST;Lancaster;SC;29720;Supercenter
1031;08.04.1987;;;47;157;5000 AMERICAN WAY;Memphis;TN;38115;Wal-Mart
1032;4/28/1987 ;;;12;5;513 WEST 23RD STREET;Panama City;FL;32405;Wal-Mart
1033;6/16/1987 ;03.01.1996;1;18;71;1600 EAST TIPTON;Seymour;IN;47274;Supercenter
1034;6/30/1987 ;03.01.1999;1;37;45;705 EAST DIXON BLVD.;Shelby;NC;28150;Supercenter
1035;08.04.1987;8/20/2003 ;1;45;83;141 DORMAN CENTRE DRIVE;Spartanburg;SC;29301;Supercenter
1036;03.03.1987;03.01.2000;1;37;161;197 PLAZA DRIVE;Forest City;NC;28043;Supercenter
1037;4/28/1987 ;10.09.2002;1;45;15;1317 NORTH MAIN STREET;Summerville;SC;29483;Supercenter
1038;03.03.1987;;;27;161;2103 STATE ST. N;Waseca;MN;56093;Wal-Mart
1039;06.02.1987;03.01.1997;1;37;171;2241 ROCKFORD ST;Mount Airy;NC;27030;Supercenter
1040;08.04.1987;3/19/2003 ;1;48;201;15955 FM 529 ROAD;Houston;TX;77095;Supercenter
1041;05.12.1987;5/18/2005 ;1;48;215;1310 NORTH TEXAS BLVD;Weslaco;TX;78596;Supercenter
1042;05.12.1987;03.01.1995;1;48;21;488 HWY 71 WEST;Bastrop;TX;78602;Supercenter
1043;09.01.1987;;;40;49;1340 WEST GRANT;Pauls Valley;OK;73075;Wal-Mart
1044;6/16/1987 ;;;48;423;3900 TROUP HWY;Tyler;TX;75703;Wal-Mart
1045;7/14/1987 ;;;8;13;300 WANEKA PARKWAY;Lafayette;CO;80026;Wal-Mart
1046;05.12.1987;;;48;127;2214 N. FIRST STREET;Carrizo Springs;TX;78834;Wal-Mart
1047;09.01.1987;5/14/2003 ;1;13;63;6065 JONESBORO ROAD;Morrow;GA;30260;Supercenter
1048;7/14/1987 ;03.01.1999;1;21;235;589 HWY WEST 92;Williamsburg;KY;40769;Supercenter
1050;1/13/1987 ;;;48;115;2406 LUBBOCK;Lamesa;TX;79331;Wal-Mart
1051;1/13/1987 ;4/14/2004 ;1;48;219;407 EAST HWY 114;Levelland;TX;79336;Supercenter
1052;02.03.1987;03.01.1999;1;1;57;3186 HWY 171 NORTH;Fayette;AL;35555;Supercenter
1053;02.03.1987;09.10.2003;1;21;185;1015 NEW MOODY LANE;La Grange;KY;40031;Supercenter
1054;02.03.1987;3/17/2004 ;1;20;5;1920 SOUTH US 73;Atchison;KS;66002;Supercenter
1055;09.01.1987;5/15/2002 ;1;48;113;5302 NO. GARLAND AVE.;Garland;TX;75044;Supercenter
1056;02.03.1987;3/17/2004 ;1;40;87;3300 NORTH TRI-CITY DRIVE;Newcastle;OK;73065;Supercenter
1057;02.03.1987;;;1;51;1300 GILMER AVE;Tallassee;AL;36078;Wal-Mart
1058;7/14/1987 ;03.01.1998;1;8;85;16750 SOUTH TOWNSEND;Montrose;CO;81401;Supercenter
1059;10.01.1987;;;28;123;921 HWY 35 SOUTH;Forest;MS;39074;Wal-Mart
1060;10/20/1987 ;;;37;23;1227 BURKEMONT AVENUE;Morganton;NC;28655;Wal-Mart
1061;09.01.1987;1/26/2005 ;1;13;161;136 EAST JARMAN ST.;Hazlehurst;GA;31539;Supercenter
1062;10.01.1987;03.01.2002;1;48;201;150 W. EL DORADO BLVD;Webster;TX;77546;Supercenter
1063;09.01.1987;;;1;61;1608 W. MAGNOLIA AVE.;Geneva;AL;36340;Wal-Mart
1064;08.04.1987;;;37;27;845-R BLOWING ROCK BLVD;Lenoir;NC;28645;Wal-Mart
1065;8/18/1987 ;4/18/2001 ;1;5;57;2400 N HERVEY ST;Hope;AR;71801;Supercenter
1066;10.01.1987;10/16/2002 ;1;28;59;4253 DENNY AVE.;Pascagoula;MS;39581;Supercenter
1067;6/30/1987 ;;;48;285;1506 NORTH TEXANA;Hallettsville;TX;77964;Wal-Mart
1068;10/20/1987 ;03.01.1995;1;12;61;2001 US HIGHWAY #1;Sebastian;FL;32958;Supercenter
1069;08.04.1987;1/28/2004 ;1;28;101;231 EASTSIDE DRIVE;Newton;MS;39345;Supercenter
1070;4/28/1987 ;3/19/2003 ;1;13;123;88 HIGHLAND CROSSING;East Ellijay;GA;30539;Supercenter
1071;10.01.1987;;;17;119;1501 VAUGHN;Wood River;IL;62095;Wal-Mart
1072;8/18/1987 ;03.01.2002;1;13;277;1830 US HWY 82 WEST;Tifton;GA;31794;Supercenter
1073;4/28/1987 ;3/17/2004 ;1;48;281;1710 CENTRAL TEXAS EXPRESSWAY;Lampasas;TX;76550;Supercenter
1074;11/17/1987 ;03.01.1995;1;28;43;1655 SUNSET DRIVE;Grenada;MS;38901;Supercenter
1075;06.02.1987;03.01.1995;1;47;125;1680 FT CAMPBELL BLVD;Clarksville;TN;37042;Supercenter
1076;4/28/1987 ;03.01.2000;1;13;21;1401 GRAY HIGHWAY;Macon;GA;31211;Supercenter
1077;8/18/1987 ;03.01.1997;1;12;73;3535 APALACHEE PKWY;Tallahassee;FL;32311;Supercenter
1078;6/30/1987 ;;;48;399;2305 HWY 67 WEST;Ballinger;TX;76821;Wal-Mart
1079;10.01.1987;;;12;127;1998 STATE RD. #44;New Smyrna Beach;FL;32168;Wal-Mart
1080;10/20/1987 ;03.01.1995;1;47;179;3111 BROWNS MILL RD;Johnson City;TN;37604;Supercenter
1081;09.01.1987;;;12;1;3570 SOUTHWEST ARCHER RD;Gainesville;FL;32608;Wal-Mart
1082;11/17/1987 ;;;12;31;10991-1 SAN JOSE BLVD.;Jacksonville;FL;32223;Wal-Mart
1083;6/30/1988 ;04.10.2002;1;12;31;6830 NORMANDY BLVD;Jacksonville;FL;32205;Supercenter
1084;12/31/1987 ;;;12;95;3838 S SEMARON BLVD;Orlando;FL;32822;Wal-Mart
1085;09.01.1987;3/14/2001 ;1;12;101;8701 US HWY 19;Port Richey;FL;34668;Supercenter
1086;10/20/1987 ;03.01.1996;1;12;97;4400 13TH ST.;Saint Cloud;FL;34769;Supercenter
